super_replicate;replicate;strain_no;strain;ethanol;broodsize;date;person_counting;comment
1;1;8;JU2600;100;510;21-10-2024;Lisa;Fished 1 L4, count multiplied by 2
1;1;8;JU2600;200;330;21-10-2024;Lisa;Bacterial infection
1;1;8;JU2600;200;113;21-10-2024;Lisa;
1;1;8;JU2600;200;597;21-10-2024;Lisa;
1;1;8;JU2600;300;222;21-10-2024;Lisa;
1;1;8;JU2600;300;264;21-10-2024;Lisa;
1;1;8;JU2600;300;218;21-10-2024;Lisa;
1;1;8;JU2600;400;78;21-10-2024;Lisa;
1;1;8;JU2600;400;82;21-10-2024;Lisa;Bacterial infection
1;1;8;JU2600;400;88;21-10-2024;Lisa;Bacterial infection
1;1;9;JU310;0;438;21-10-2024;Rick;
1;1;9;JU310;0;550;21-10-2024;Rick;Fished 1 L4, count multiplied by 2
1;1;9;JU310;0;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;9;JU310;100;212;21-10-2024;Rick;
1;1;9;JU310;100;406;21-10-2024;Rick;
1;1;9;JU310;100;338;21-10-2024;Rick;
1;1;9;JU310;200;331;21-10-2024;Rick;
1;1;9;JU310;200;146;21-10-2024;Rick;
1;1;9;JU310;200;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;9;JU310;300;274;21-10-2024;Rick;
1;1;9;JU310;300;162;21-10-2024;Rick;
1;1;9;JU310;300;238;21-10-2024;Rick;
1;1;9;JU310;400;132;21-10-2024;Rick;
1;1;9;JU310;400;220;21-10-2024;Rick;
1;1;9;JU310;400;4;21-10-2024;Rick;Bacterial infection
1;1;10;MY2147;0;543;22-10-2024;Rick;
1;1;10;MY2147;0;495;22-10-2024;Rick;
1;1;10;MY2147;0;590;22-10-2024;Rick;
1;1;10;MY2147;100;455;22-10-2024;Rick;
1;1;10;MY2147;100;554;22-10-2024;Rick;Fished 1 L4, count multiplied by 2
1;1;10;MY2147;100;NA;22-10-2024;Rick;Insufficient L4s to fish
1;1;10;MY2147;200;408;22-10-2024;Rick;Bacterial infection
1;1;10;MY2147;200;NA;22-10-2024;Rick;Insufficient L4s to fish
1;1;10;MY2147;200;NA;22-10-2024;Rick;Insufficient L4s to fish
1;1;10;MY2147;300;331;22-10-2024;Rick;
1;1;10;MY2147;300;148;22-10-2024;Rick;
1;1;10;MY2147;300;233;22-10-2024;Rick;
1;1;10;MY2147;400;158;22-10-2024;Rick;
1;1;10;MY2147;400;78;22-10-2024;Rick;
1;1;10;MY2147;400;110;22-10-2024;Rick;
1;1;11;MY2693;0;354;21-10-2024;Rick;
1;1;11;MY2693;0;768;21-10-2024;Rick;
1;1;11;MY2693;0;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;11;MY2693;100;1120;21-10-2024;Rick;Fished 1 L4, count multiplied by 2
1;1;11;MY2693;100;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;11;MY2693;100;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;11;MY2693;200;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;11;MY2693;200;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;11;MY2693;200;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;11;MY2693;300;237;21-10-2024;Rick;
1;1;11;MY2693;300;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;11;MY2693;300;NA;21-10-2024;Rick;Insufficient L4s to fish
1;1;11;MY2693;400;208;21-10-2024;Rick;
1;1;11;MY2693;400;135;21-10-2024;Rick;
1;1;11;MY2693;400;148;21-10-2024;Rick;
1;1;12;N2;0;245;21-10-2024;Lisa;
1;1;12;N2;0;472;21-10-2024;Lisa;
1;1;12;N2;0;490;21-10-2024;Lisa;
1;1;12;N2;100;270;21-10-2024;Lisa;
1;1;12;N2;100;403;21-10-2024;Lisa;
1;1;12;N2;100;418;21-10-2024;Lisa;Fished 1 L4, count multiplied by 2
1;1;12;N2;200;335;21-10-2024;Lisa;
1;1;12;N2;200;358;21-10-2024;Lisa;
1;1;12;N2;200;300;21-10-2024;Lisa;
